"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Adjusted","PropHKPriceEdge.Adjusted","PropnetProbBEdge.Adjusted","KProbHKPrice.Adjusted","KProbnetProbB.Adjusted","KProbFixed.Adjusted","KProbFixednetProbB.Adjusted","KEMProb.Adjusted","KEMProbnetProbB.Adjusted","KProbHalf.Adjusted","KProbHalfnetProbB.Adjusted","KProbQuarter.Adjusted","KProbQuarternetProbB.Adjusted","KProbAdj.Adjusted","KProbAdjnetProbB.Adjusted","KHalfAdj.Adjusted","KHalfAdjnetProbB.Adjusted","KEMQuarterAdj.Adjusted","KEMQuarterAdjnetProbB.Adjusted"
"1","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"2","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"3","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"4","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
"5","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  "
"6","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  "
"7","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"9","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"10","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"11","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
"12","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  "
"13","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  "
"14","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"16","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"17","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"18","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
"19","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  "
"20","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  "
"21","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"23","Kelly2","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"24","Kelly2","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"25","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
"26","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  "
"27","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  "
"28","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Kelly3","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"30","Kelly3","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"31","Kelly3","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"32","Kelly3","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
"33","Kelly3","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  "
"34","Kelly3","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  "
"35","Kelly3",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Kelly4","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"37","Kelly4","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"38","Kelly4","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"39","Kelly4","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
"40","Kelly4","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  "
"41","Kelly4","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  "
"42","Kelly4",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"44","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"45","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"46","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
"47","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  "
"48","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  "
"49","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"51","Kelly2","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"52","Kelly2","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"53","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
"54","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  ","3rd Qu.:1  "
"55","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  ","Max.   :1  "
"56","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Kelly3","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  ","Min.   :1  "
"58","Kelly3","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  ","1st Qu.:1  "
"59","Kelly3","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  ","Median :1  "
"60","Kelly3","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  ","Mean   :1  "
